Year,Region,Gender,Age_Group,Environment,Population
2015,İstanbul-TR10,Male,0-4,Rural,0.0
2015,İzmir-TR31,Male,0-4,Rural,0.0
2015,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,5832.0
2015,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,9298.0
2015,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,17699.0
2015,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,8232.0
2015,"Konya, Karaman-TR52",Male,0-4,Rural,2106.0
2015,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,10261.0
2015,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,17607.0
2015,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,27006.0
2015,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,11501.0
2015,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,0.0
2015,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,3705.0
2015,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,8691.0
2015,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,31401.0
2015,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,9839.0
2016,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2016,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,31282.0
2016,Ankara-TR51,Male,0-4,Rural,0.0
2016,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,4940.0
2016,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2016,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4408.0
2016,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,879.0
2016,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,4139.0
2016,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,11097.0
2016,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,4623.0
2016,İstanbul-TR10,Male,0-4,Rural,0.0
2016,İzmir-TR31,Male,0-4,Rural,0.0
2016,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,5510.0
2016,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,8803.0
2016,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,17270.0
2016,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,8262.0
2016,"Konya, Karaman-TR52",Male,0-4,Rural,2006.0
2016,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,9704.0
2016,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,17206.0
2016,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,26581.0
2016,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,11154.0
2016,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,0.0
2016,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,3579.0
2016,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,8494.0
2016,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,30358.0
2016,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,9393.0
2017,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2017,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,29761.0
2017,Ankara-TR51,Male,0-4,Rural,0.0
2017,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,4752.0
2017,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2017,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4273.0
2017,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,842.0
2017,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,4014.0
2017,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,10716.0
2017,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,4433.0
2017,İstanbul-TR10,Male,0-4,Rural,0.0
2017,İzmir-TR31,Male,0-4,Rural,0.0
2017,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,5351.0
2017,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,8302.0
2017,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,16014.0
2017,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,8158.0
2017,"Konya, Karaman-TR52",Male,0-4,Rural,1935.0
2017,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,9240.0
2017,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,16692.0
2017,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,26374.0
2017,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,10594.0
2017,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,0.0
2017,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,3409.0
2017,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,7683.0
2017,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,29721.0
2017,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,8863.0
2018,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2018,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,28849.0
2018,Ankara-TR51,Male,0-4,Rural,0.0
2018,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,4734.0
2018,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2018,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4384.0
2018,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,826.0
2018,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,2510.0
2018,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,10749.0
2018,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,4396.0
2018,İstanbul-TR10,Male,0-4,Rural,0.0
2018,İzmir-TR31,Male,0-4,Rural,0.0
2018,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,6435.0
2018,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,8674.0
2018,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,16444.0
2018,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,8264.0
2018,"Konya, Karaman-TR52",Male,0-4,Rural,1903.0
2018,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,11214.0
2018,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,16599.0
2018,"Mardin, Batman, Şırnak, Siirt-TRC3",Male,0-4,Rural,25765.0
2018,"Samsun, Tokat, Çorum, Amasya-TR83",Male,0-4,Rural,11013.0
2018,"Şanlıurfa, Diyarbakır-TRC2",Male,0-4,Rural,0.0
2018,"Tekirdağ, Edirne, Kırklareli-TR21",Male,0-4,Rural,3467.0
2018,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",Male,0-4,Rural,10393.0
2018,"Van, Muş, Bitlis, Hakkari-TRB2",Male,0-4,Rural,28463.0
2018,"Zonguldak, Karabük, Bartın-TR81",Male,0-4,Rural,9056.0
2019,"Adana, Mersin-TR62",Male,0-4,Rural,0.0
2019,"Ağrı, Kars, Iğdır, Ardahan-TRA2",Male,0-4,Rural,27040.0
2019,Ankara-TR51,Male,0-4,Rural,0.0
2019,"Antalya, Isparta, Burdur-TR61",Male,0-4,Rural,4427.0
2019,"Aydın, Denizli, Muğla-TR32",Male,0-4,Rural,0.0
2019,"Balıkesir, Çanakkale-TR22",Male,0-4,Rural,4300.0
2019,"Bursa, Eskişehir, Bilecik-TR41",Male,0-4,Rural,717.0
2019,"Erzurum, Erzincan, Bayburt-TRA1",Male,0-4,Rural,2102.0
2019,"Gaziantep, Adıyaman, Kilis-TRC1",Male,0-4,Rural,9701.0
2019,"Hatay, Kahramanmaraş, Osmaniye-TR63",Male,0-4,Rural,3912.0
2019,İstanbul-TR10,Male,0-4,Rural,0.0
2019,İzmir-TR31,Male,0-4,Rural,0.0
2019,"Kastamonu, Çankırı, Sinop-TR82",Male,0-4,Rural,5050.0
2019,"Kayseri, Sivas, Yozgat-TR72",Male,0-4,Rural,7733.0
2019,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",Male,0-4,Rural,14785.0
2019,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",Male,0-4,Rural,7879.0
2019,"Konya, Karaman-TR52",Male,0-4,Rural,1744.0
2019,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",Male,0-4,Rural,8951.0
2019,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",Male,0-4,Rural,15180.0
