Year,Region,Rural,Urban,Total_Population
2023,"Kocaeli, Sakarya, Düzce, Bolu, Yalova-TR42",300373.0,3940083.0,4240456.0
2023,"Konya, Karaman-TR52",62688.0,2521513.0,2584201.0
2023,"Kırıkkale, Aksaray, Niğde, Nevşehir, Kırşehir-TR71",473185.0,1191316.0,1664501.0
2023,"Malatya, Elazığ, Bingöl, Tunceli-TRB1",274830.0,1447278.0,1722108.0
2023,"Manisa, Afyonkarahisar, Kütahya, Uşak-TR33",537397.0,2642338.0,3179735.0
2023,"Mardin, Batman, Şırnak, Siirt-TRC3",412224.0,2042012.0,2454236.0
2023,"Samsun, Tokat, Çorum, Amasya-TR83",444042.0,2408318.0,2852360.0
2023,"Tekirdağ, Edirne, Kırklareli-TR21",203781.0,1760347.0,1964128.0
2023,"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane-TR90",441911.0,2291354.0,2733265.0
2023,"Van, Muş, Bitlis, Hakkari-TRB2",437217.0,1737646.0,2174863.0
2023,"Zonguldak, Karabük, Bartın-TR81",391701.0,662271.0,1053972.0
2023,İstanbul-TR10,0.0,15655924.0,15655924.0
2023,İzmir-TR31,0.0,4479525.0,4479525.0
2023,"Şanlıurfa, Diyarbakır-TRC2",0.0,4032097.0,4032097.0
2024,"Adana, Mersin-TR62",0.0,4234763.0,4234763.0
2024,Ankara-TR51,0.0,5864049.0,5864049.0
2024,"Antalya, Isparta, Burdur-TR61",191963.0,3252375.0,3444338.0
2024,"Aydın, Denizli, Muğla-TR32",0.0,3309181.0,3309181.0
2024,"Ağrı, Kars, Iğdır, Ardahan-TRA2",451847.0,618465.0,1070312.0
2024,"Balıkesir, Çanakkale-TR22",216299.0,1628763.0,1845062.0
2024,"Bursa, Eskişehir, Bilecik-TR41",37616.0,4351127.0,4388743.0
2024,"Erzurum, Erzincan, Bayburt-TRA1",88727.0,981193.0,1069920.0
2024,"Gaziantep, Adıyaman, Kilis-TRC1",221178.0,2739961.0,2961139.0
2024,"Hatay, Kahramanmaraş, Osmaniye-TR63",125529.0,3131822.0,3257351.0
2024,"Kastamonu, Çankırı, Sinop-TR82",283387.0,525542.0,808929.0
